episode,reward,loss,epsilon
1,-20.0,0,1.0
2,-20.0,2.6965994834899902,0.9990002500000001
3,-20.0,2.6688764095306396,0.9980014995000627
4,-6.0,2.6342899799346924,0.9970037475009376
5,-20.0,2.6672756671905518,0.9960069930043736
6,-20.0,2.60895311832428,0.9950112350131176
7,-20.0,2.66617751121521,0.9940164725309134
8,-20.0,2.663050413131714,0.9930227045625007
9,-20.0,2.559628963470459,0.9920299301136144
10,-20.0,2.6242462396621704,0.9910381481909833
11,-20.0,2.5484814643859863,0.9900473578023296
12,-13.0,2.605838179588318,0.9890575579563669
13,-20.0,2.5182889699935913,0.9880687476628001
14,-20.0,2.5709731578826904,0.9870809259323243
15,-13.0,2.5145779848098755,0.9860940917766235
16,-20.0,2.473182201385498,0.98510824420837
17,-20.0,2.4775118827819824,0.9841233822412228
18,-20.0,2.5150904655456543,0.9831395048898272
19,-13.0,2.490888476371765,0.9821566111698136
20,-20.0,2.4330092668533325,0.9811747000977967
21,-20.0,2.4623661041259766,0.9801937706913741
22,-20.0,2.4154560565948486,0.9792138219691255
23,-20.0,2.365969181060791,0.978234852950612
24,-6.0,2.3610368967056274,0.9772568626563747
25,-20.0,2.4469839334487915,0.976279850107934
26,-18.0,2.330199122428894,0.9753038143277888
27,-13.0,2.2852118015289307,0.9743287543394147
28,-20.0,2.243213415145874,0.973354669167264
29,-13.0,2.309876561164856,0.972381557836764
30,-13.0,2.214944839477539,0.9714094193743169
31,-20.0,2.333372712135315,0.9704382528072976
32,-20.0,2.2272101640701294,0.9694680571640535
33,-20.0,2.3056766986846924,0.9684988314739038
34,-20.0,2.240387439727783,0.9675305747671379
35,-6.0,2.2275962829589844,0.9665632860750146
36,-20.0,2.189107298851013,0.9655969644297613
37,-6.0,2.1507495641708374,0.9646316088645728
38,-20.0,2.203535795211792,0.9636672184136105
39,-20.0,2.074356198310852,0.9627037921120016
40,-20.0,2.026160776615143,0.9617413289958378
41,-20.0,1.9589905738830566,0.9607798281021742
42,-20.0,2.0646092891693115,0.9598192884690291
43,-20.0,2.0039894580841064,0.9588597091353822
44,-20.0,1.9333317279815674,0.9579010891411742
45,-20.0,1.9137503504753113,0.9569434275273054
46,-20.0,1.7549514174461365,0.9559867233356352
47,-16.0,1.7577651739120483,0.9550309756089804
48,-20.0,1.707531452178955,0.9540761833911156
49,-20.0,1.641105055809021,0.9531223457267703
50,-20.0,1.7202727794647217,0.9521694616616301
51,-13.0,1.6249051690101624,0.951217530242334
52,-20.0,1.5432226061820984,0.9502665505164744
53,-14.0,0.8577954769134521,0.9497914172412162
54,-20.0,1.561714768409729,0.9488418632718294
55,-20.0,1.5858694314956665,0.9478932586190235
56,-20.0,1.4473614692687988,0.9469456023337193
57,-20.0,1.4068413376808167,0.9459988934677862
58,-20.0,1.3697715997695923,0.9450531310740419
59,-16.0,1.2078946828842163,0.9441083142062507
60,-20.0,1.0627769231796265,0.9431644419191232
61,-20.0,0.9677922129631042,0.9422215132683146
62,-20.0,0.9552999138832092,0.9412795273104247
63,-20.0,0.9439122080802917,0.9403384831029963
64,-13.0,0.8052816689014435,0.9393983797045142
65,-20.0,0.9125557839870453,0.9384592161744048
66,-20.0,0.7515413165092468,0.9375209915730345
67,-20.0,0.6536634564399719,0.9365837049617094
68,-13.0,0.7135549783706665,0.9356473554026741
69,-13.0,0.45471012592315674,0.9347119419591103
70,-20.0,0.46883152425289154,0.9337774636951368
71,-20.0,0.39370396733283997,0.9328439196758077
72,-20.0,0.530413419008255,0.9319113089671119
73,-20.0,0.53585284948349,0.9309796306359722
74,-20.0,0.41847147047519684,0.9300488837502441
75,-20.0,0.644251674413681,0.929119067378715
76,-13.0,0.2797086536884308,0.9281901805911033
77,-20.0,0.34209443628787994,0.9272622224580573
78,-20.0,0.24418726563453674,0.926335192051155
79,-20.0,0.4782034605741501,0.925409088442902
