episode,reward,loss,epsilon
96,-20.0,0.3220982700586319,0.9171157093295601
97,-8.0,0.19214709848165512,0.916198822899158
98,-20.0,0.17476503923535347,0.9152828531259647
99,-20.0,0.1727581713348627,0.9143677990935521
100,-9.0,0.17569337040185928,0.9134536598864085
101,-20.0,0.07805102318525314,0.9125404345899372
102,-8.0,0.16789816319942474,0.911628122290456
103,-9.0,0.1441867332905531,0.9107167220751963
104,-6.0,0.14989130571484566,0.9098062330323018
105,-8.0,0.45253023505210876,0.9088966542508279
106,-8.0,0.12795956432819366,0.9084422059237025
107,-13.0,0.24778199940919876,0.9075339908283304
108,-13.0,0.04454711079597473,0.9066266837209999
109,-20.0,0.0350886732339859,0.9057202836939499
110,-13.0,0.2552214916795492,0.9048147898403269
111,-20.0,2.0387645959854126,0.9039102012541841
112,-20.0,1.8404593467712402,0.9030065170304803
113,-20.0,1.802527666091919,0.9021037362650792
114,-20.0,1.6420905590057373,0.9012018580547484
115,-13.0,1.6541892290115356,0.9003008814971583
116,-20.0,1.6528910398483276,0.8994008056908817
117,-20.0,1.1771689653396606,0.8985016297353923
118,-1.0,1.308938443660736,0.8976033527310644
119,-20.0,1.0296335816383362,0.8967059737791716
120,4.0,0.9777215719223022,0.895809491981886
121,-13.0,0.6471459269523621,0.8949139064422772
122,-13.0,0.8066218793392181,0.8940192162643116
123,4.0,0.4165830612182617,0.8931254205528514
124,-20.0,0.3485741540789604,0.8922325184136538
125,-13.0,0.3648117035627365,0.8913405089533699
126,-20.0,0.48194772005081177,0.8904493912795439
127,-13.0,0.495343953371048,0.8895591645006123
128,-13.0,0.28762197121977806,0.8886698277259029
129,-13.0,0.4187452346086502,0.887781380065634
130,-20.0,0.41842013597488403,0.8868938206309135
131,-20.0,0.2489061951637268,0.8860071485337379
132,-20.0,0.29020389914512634,0.8851213628869913
133,-20.0,0.31955523043870926,0.8842364628044451
134,-6.0,0.40809157490730286,0.8833524474007565
135,-13.0,0.42380422353744507,0.8824693157914677
136,-13.0,0.39080753922462463,0.8815870670930053
137,-3.0,0.37999122589826584,0.8807057004226791
138,-20.0,0.39427563548088074,0.8798252148986817
139,-20.0,0.6763116717338562,0.8789456096400869
140,-3.0,0.41971874237060547,0.8780668837668493
141,-20.0,0.1507413163781166,0.8771890363998035
142,-20.0,0.1866859495639801,0.876312066660663
143,-20.0,0.12335807830095291,0.8754359736720191
144,-20.0,0.11698110774159431,0.8745607565573406
145,-20.0,0.3062414675951004,0.8736864144409725
146,-20.0,0.4010632783174515,0.8728129464481352
147,-20.0,0.3753966987133026,0.8719403517049238
148,-13.0,0.3277166038751602,0.8710686293383069
149,-20.0,0.292828232049942,0.870197778476126
150,-20.0,0.34505361318588257,0.8693277982470946
151,-20.0,0.4531409740447998,0.8684586877807972
152,-13.0,0.24610227346420288,0.8675904462076884
153,-20.0,0.2999437600374222,0.8667230726590923
154,-13.0,0.20437933132052422,0.8658565662672015
155,-13.0,0.2485063560307026,0.864990926165076
156,-20.0,0.378204770386219,0.8641261514866426
157,-6.0,0.4489900916814804,0.8632622413666939
158,-13.0,0.2632874399423599,0.8623991949408877
159,-8.0,0.26052647829055786,0.8615370113457457
160,-4.0,0,0.8615370113457457
161,-8.0,0.46705619990825653,0.8606756897186528
162,-13.0,0.11673640832304955,0.8598152291978567
163,-3.0,0.17842966318130493,0.8593853215832578
164,-20.0,0.19354934990406036,0.8585261511080049
165,-20.0,0.5842926204204559,0.8576678395884348
166,-6.0,0.37916824221611023,0.8568103861658064
167,-6.0,0,0.8568103861658064
168,-3.0,0.4691024124622345,0.8559537899822373
169,-20.0,0.2931777834892273,0.8550980501807026
170,-1.0,0.3992321193218231,0.8542431659050345
171,-13.0,0.3418448120355606,0.8533891362999211
172,-13.0,0.1947263926267624,0.8525359605109053
173,-1.0,0.4224390238523483,0.8516836376843847
174,-3.0,0.547614261507988,0.8508321669676098
175,-2.0,0,0.8508321669676098
176,-20.0,0.35312627255916595,0.8499815475086839
177,-20.0,0.25648021697998047,0.8491317784565623
178,-20.0,0.35017015784978867,0.8482828589610505
179,-20.0,0.45955152809619904,0.8474347881728043
180,-20.0,0.7481963783502579,0.8465875652433287
181,-20.0,0.3214961141347885,0.8457411893249768
182,-14.0,0.1844179928302765,0.8453183187303144
183,-9.0,0.16671376675367355,0.8444732117411639
184,-20.0,0.35982708632946014,0.8436289496477257
185,-20.0,0.146541565656662,0.8427855316053156
186,-20.0,0.13134118542075157,0.8419429567700932
187,-20.0,0.3706136643886566,0.8411012242990624
188,-8.0,0.4117811918258667,0.8402603333500694
