episode,reward,loss,epsilon
1,-20.0,0,1.0
2,-6.0,0,1.0
3,-13.0,1.3802587985992432,0.98
4,-6.0,2.7522064447402954,0.9411919999999999
5,-13.0,2.611012578010559,0.9039207967999998
6,-6.0,2.503030776977539,0.8681255332467198
7,-20.0,2.409507632255554,0.8337477621301497
8,-6.0,2.3175617456436157,0.8007313507497957
9,-20.0,2.2370065450668335,0.7690223892601038
10,-13.0,2.1142578125,0.7385691026454037
11,-20.0,1.897169053554535,0.7093217661806457
12,1.0,1.850653886795044,0.6812326242398921
13,-20.0,1.6994998455047607,0.6542558123199923
14,-20.0,1.5624849796295166,0.6283472821521205
15,-2.0,0,0.6283472821521205
16,-20.0,1.118605613708496,0.6034647297788965
17,-13.0,0.9967086911201477,0.5795675264796523
18,-6.0,0.7930831015110016,0.5566166524310581
19,1.0,0,0.5566166524310581
20,-13.0,0.6524448692798615,0.5345746329947881
21,-20.0,0.5498617887496948,0.5134054775281945
22,-13.0,0.6622869670391083,0.493074620618078
23,-20.0,0.7350750863552094,0.4735488656416021
24,-20.0,0.3618764877319336,0.45479633056219465
25,1.0,0.33175337314605713,0.4367863958719317
26,-13.0,0.35932543873786926,0.41948965459540316
27,-13.0,0.512524425983429,0.4028778642734252
28,-13.0,0.43483614921569824,0.38692390084819756
29,-12.0,0.17829495668411255,0.3791854228312336
30,-20.0,0.4757919907569885,0.3641696800871167
31,-13.0,0.32732969522476196,0.34974856075566685
32,-6.0,0.2870742827653885,0.33589851774974244
33,-6.0,0,0.33589851774974244
34,-20.0,0.361884668469429,0.32259693644685267
35,-20.0,0.22589141502976418,0.3098220977635573
36,-20.0,0.3138645738363266,0.2975531426921204
37,-13.0,0.199864000082016,0.2857700382415124
38,-9.0,0.45040665566921234,0.27445354472714856
39,-13.0,0.23967065662145615,0.26358518435595346
40,-20.0,0.1791299544274807,0.2531472110554577
41,-6.0,0.3285447210073471,0.24312258149766156
42,-13.0,0.27355536073446274,0.23349492727035415
43,-20.0,0.4637565016746521,0.22424852815044813
44,-13.0,0.3176895081996918,0.21536828643569036
45,-12.0,0.008047623559832573,0.21106092070697655
46,-18.0,0.3639476001262665,0.20270290824698028
47,-20.0,0.16784002631902695,0.19467587308039985
48,-6.0,0.16690106317400932,0.18696670850641603
49,-13.0,0.2656698301434517,0.17956282684956196
50,-13.0,0.1175297163426876,0.1724521389063193
51,-13.0,0.11421577259898186,0.16562303420562907
52,-20.0,0.26696711778640747,0.15906436205108615
53,-13.0,0.36280766129493713,0.15276541331386312
54,-20.0,0.16075902804732323,0.14671590294663414
55,-20.0,0.11089965468272567,0.14090595318994742
56,-6.0,0,0.14090595318994742
57,-1.0,0.17058490216732025,0.13532607744362551
58,-11.0,1.3779933229088783,0.12996716477685794
59,-20.0,2.493380546569824,0.12482046505169436
60,-20.0,2.19394588470459,0.11987757463564727
61,-6.0,1.6938527822494507,0.11513042268007563
62,13.0,1.2896321415901184,0.11057125794194463
63,-20.0,0.7693706750869751,0.10619263612744362
64,-20.0,0.36719921231269836,0.10198740773679685
65,-20.0,0.4918094724416733,0.0979487063904197
66,-7.0,0.4400392770767212,0.0959897322626113
67,-13.0,0.8086779713630676,0.0921885388650119
68,-13.0,0.8029651045799255,0.08853787272595742
69,-20.0,0.6666848659515381,0.0850317729660095
70,-20.0,0.5191254764795303,0.08166451475655553
71,-20.0,0.5034044533967972,0.07843059997219594
72,-13.0,0.4295804649591446,0.07532474821329699
73,-20.0,0.4362739324569702,0.07234188818405042
74,1.0,0.6183375120162964,0.06947714941196202
75,-11.0,0.46350014209747314,0.06672585429524831
76,-20.0,0.41098660230636597,0.06408351046515648
77,-13.0,0.3900657743215561,0.061545803450736285
78,-8.0,0.27434593439102173,0.060314887381721555
79,-2.0,0.3409751355648041,0.05792641784140538
80,-13.0,0.4168155938386917,0.055632531694885724
81,-6.0,0.6203984022140503,0.05342948343976824
82,-7.0,0.37889209389686584,0.052360893770972874
83,-20.0,0.5448716878890991,0.05028740237764235
84,-20.0,0.3631976395845413,0.05
85,-4.0,0,0.05
86,-20.0,0.43541187047958374,0.05
87,-6.0,0.5081095397472382,0.05
88,-6.0,0.3907541036605835,0.05
89,-9.0,0.5364683270454407,0.05
90,-13.0,0.4578358083963394,0.05
91,-13.0,0.3087519109249115,0.05
92,-13.0,0.41006385535001755,0.05
93,-13.0,0.5474430918693542,0.05
94,-6.0,0.6457663774490356,0.05
95,-13.0,0.4828551560640335,0.05
96,-20.0,0.4971598982810974,0.05
97,-13.0,0.6695635616779327,0.05
98,-8.0,0.5696765184402466,0.05
99,-5.0,0.19571030139923096,0.05
100,-13.0,0.5292055308818817,0.05
101,-20.0,0.4022105038166046,0.05
102,-20.0,0.4465785324573517,0.05
103,-20.0,0.6208676695823669,0.05
104,-13.0,0.4715326130390167,0.05
105,-8.0,0.2598673701286316,0.05
106,-20.0,0.499765008687973,0.05
107,-20.0,0.45127028226852417,0.05
108,-20.0,0.33995041251182556,0.05
109,1.0,0.6536623984575272,0.05
110,-20.0,0.7430573403835297,0.05
111,-13.0,0.4150805324316025,0.05
112,-13.0,2.526676893234253,0.05
113,-20.0,2.2269173860549927,0.05
114,-20.0,1.710402488708496,0.05
115,-6.0,1.2135376334190369,0.05
116,-13.0,0.8080724477767944,0.05
117,-20.0,1.153777301311493,0.05
118,-1.0,1.217121958732605,0.05
119,-20.0,1.0116731226444244,0.05
120,5.0,0,0.05
121,1.0,1.2805507183074951,0.05
122,-20.0,0.8566999435424805,0.05
123,-20.0,1.031711757183075,0.05
124,-13.0,0.8186759352684021,0.05
125,-20.0,0.799047589302063,0.05
126,-18.0,1.037332534790039,0.05
127,-13.0,1.1579484939575195,0.05
128,-20.0,0.7918717861175537,0.05
129,0.0,0.30126452445983887,0.05
130,-20.0,0.793708473443985,0.05
