episode,reward,loss,epsilon
1,-20.0,0,1.0
2,-20.0,0,1.0
3,-20.0,0,1.0
4,-6.0,0,1.0
5,-20.0,5.865000873804092,0.990025
6,-13.0,5.0085044875741005,0.9801495006250001
7,-20.0,5.001328920945525,0.9703725093562657
8,1.0,4.680093047383707,0.960693043575437
9,-13.0,6.315359112453734,0.9511101304657719
10,-13.0,3.8878497104237795,0.9416228069143757
11,-20.0,2.688215433123787,0.9322301194154049
12,-2.0,0,0.9322301194154049
13,-13.0,6.0897590127563035,0.9229311239742362
14,-20.0,5.464140762670354,0.9137248860125932
15,-20.0,4.900325247353408,0.9046104802746175
16,-13.0,2.915352536345381,0.8955869907338783
17,-13.0,2.753506576268624,0.8866535105013078
18,-10.0,3.2500036909782466,0.8822202429488013
19,-6.0,4.7124854081575975,0.8734200960253871
20,-20.0,1.3190266472701069,0.8647077305675338
21,-13.0,3.935719794559219,0.8560822709551227
22,-13.0,2.0389645078387275,0.8475428503023453
23,-20.0,4.013822988737957,0.8390886103705794
24,-20.0,4.030397215666625,0.8307187014821328
25,-20.0,4.399864853132174,0.8224322824348486
26,0.0,0.8915443288924507,0.8183201210226743
27,-20.0,5.964463402927571,0.810157377815473
28,-20.0,4.160913983916444,0.8020760579717637
29,-10.0,2.1245920359765353,0.798065677681905
30,-20.0,3.3004210799551856,0.7901049725470279
31,-6.0,4.693644854864459,0.7822236754458713
32,-20.0,2.918073475440792,0.7744209942832988
33,-20.0,2.6834044885672483,0.7666961448653229
34,-13.0,4.383248707704752,0.7590483508202912
35,-1.0,3.1627275333191847,0.7552531090661897
36,-20.0,4.390897304770988,0.7477194593032545
37,-20.0,4.390522532088653,0.7402609576967045
38,-20.0,3.234823716486062,0.7328768546436799
39,-2.0,0,0.7328768546436799
40,-20.0,1.0575499089820823,0.7255664080186093
41,-13.0,2.8752388614484516,0.7183288830986236
42,-13.0,4.451702789337787,0.7111635524897149
43,-13.0,5.307458147036414,0.7040696960536299
44,-13.0,3.7804370810151795,0.697046600835495
45,-13.0,5.38228663884707,0.6900935609921609
46,-13.0,3.4784297704827623,0.6832098777212641
47,-5.0,0.05966804248782864,0.6797938283326578
48,-2.0,0,0.6797938283326578
49,-13.0,2.002891298412578,0.6730128848950395
50,-20.0,5.886420924026655,0.6662995813682115
51,-20.0,1.980667044207351,0.6596532430440636
52,-18.0,1.3048735781217147,0.653073201944699
53,-20.0,3.3031012097237085,0.6465587967553006
54,-13.0,8.651298436490379,0.6401093727576664
55,-13.0,2.8420043765244145,0.6337242817644086
56,-20.0,1.4251958001431717,0.6274028820538087
57,-20.0,3.4834705396112895,0.6211445383053219
58,-10.0,1.237843260538284,0.6180388156137953
59,-20.0,2.523794982139975,0.6118738784280476
60,-20.0,2.6321147277467123,0.6057704364907278
61,-6.0,5.812981423921883,0.5997278763867329
62,-20.0,3.393550862979282,0.5937455908197752
63,-13.0,4.4850987263921525,0.5878229785513479
64,-20.0,4.320686782823486,0.5819594443402982
65,-13.0,2.6331063093525984,0.5761543988830038
66,-13.0,4.562236265471057,0.5704072587541458
67,-13.0,3.1088204645939186,0.5647174463480732
68,-13.0,2.9803600055365678,0.5590843898207511
69,-20.0,2.8885796247232065,0.5535075230322891
70,-13.0,3.917029764633753,0.547986285490042
71,-20.0,3.8923920570132395,0.5425201222922789
72,-20.0,6.111082749699108,0.5371084840724134
73,-13.0,1.0622205851490776,0.531750826943791
74,-13.0,4.116371710437079,0.5264466124450268
75,-12.0,1.2804493719668244,0.5238143793828016
76,-20.0,2.170407754114052,0.5185893309484582
77,-20.0,1.4899628454272715,0.5134164023722473
78,-16.0,5.681357861558361,0.5082950737585841
79,-20.0,4.1416850691877585,0.5032248303978422
80,-20.0,4.514420391175918,0.4982051627146237
81,-13.0,5.954470545798358,0.4932355662165453
82,-6.0,4.015966784484078,0.4883155414435353
83,-12.0,1.392244508607945,0.4858739637363176
84,-20.0,1.1570063112740172,0.4810273709480478
85,-13.0,5.891992142405343,0.47622912292284103
86,-13.0,3.0215919324559763,0.47147873742168567
87,-13.0,2.135174624438548,0.46677573701590436
88,-6.0,6.098038377173403,0.46211964903917074
89,-13.0,2.1399585982728695,0.457510005540005
90,-20.0,3.830647574175373,0.4529463432347434
