episode,reward,loss,epsilon
1,-20.0,0,1.0
2,-20.0,0,1.0
3,-20.0,0,1.0
4,-13.0,5.6717143431305885,0.990025
5,-20.0,6.332964397966862,0.9801495006250001
6,-8.0,2.8361934311687946,0.9752487531218751
7,-20.0,4.209132065996528,0.9655206468094844
8,-20.0,2.4192519419593737,0.9558895783575597
9,-20.0,1.5352192894993095,0.946354579813443
10,-3.0,0.5104402412698619,0.9416228069143757
11,-4.0,0,0.9416228069143757
12,-13.0,2.3312370318781177,0.9322301194154049
13,-13.0,2.7534551799095084,0.9229311239742362
14,-13.0,2.563566352678663,0.9137248860125932
15,-6.0,1.9323044773732363,0.9046104802746175
16,-13.0,2.6709009196246285,0.8955869907338783
17,1.0,8.684714898761285,0.8866535105013078
18,-8.0,1.4678292220044113,0.8822202429488013
19,-20.0,6.641928885936096,0.8734200960253871
20,-6.0,0,0.8734200960253871
21,-20.0,4.066359385689736,0.8647077305675338
22,-13.0,5.539654867688114,0.8560822709551227
23,-20.0,4.587948919932046,0.8475428503023453
24,-13.0,5.041314720511764,0.8390886103705794
25,-3.0,1.9082519949970447,0.8348931673187264
26,-20.0,2.8298039950311704,0.8265651079747222
27,-13.0,4.503219445653031,0.8183201210226743
28,-11.0,2.3223855060297964,0.810157377815473
29,-6.0,4.294591245202241,0.8020760579717637
30,-20.0,3.8453545994557317,0.7940753492934954
31,-6.0,5.254843534795555,0.7861544476842928
32,-8.0,4.619702027778885,0.778312557068642
33,-6.0,14.463459304759454,0.7705488893118823
34,-13.0,5.7692817575289155,0.7628626641409962
35,-3.0,6.685739796450889,0.7552531090661897
36,-3.0,11.871024593434413,0.7477194593032545
37,-2.0,0,0.7477194593032545
38,-13.0,7.990199038500222,0.7402609576967045
39,-8.0,8.829978701395248,0.7328768546436799
40,-6.0,4.11205665033026,0.7255664080186093
41,-8.0,6.864969463120929,0.7183288830986236
42,-13.0,9.379289300681158,0.7111635524897149
43,-8.0,6.35736358740391,0.7040696960536299
44,-6.0,2.200700353907621,0.697046600835495
45,-6.0,9.958288454207946,0.6900935609921609
46,-20.0,7.668100702870042,0.6832098777212641
47,-13.0,6.814832577514295,0.6763948591909945
48,-6.0,8.84651361137083,0.6696478204705644
49,-1.0,8.847459750188023,0.6629680834613705
50,-20.0,5.63950732370995,0.6563549768288433
51,-3.0,4.752510213278697,0.6498078359349755
52,-20.0,11.225085845146658,0.6433260027715241
53,-13.0,18.21885454923145,0.6369088258938781
54,-7.0,5.930950088428915,0.6337242817644086
55,11.0,3.481329371778731,0.6274028820538087
56,-6.0,9.387472102590351,0.6211445383053219
57,-13.0,7.841304091408574,0.6149486215357263
58,6.0,8.310493226646969,0.6088145090359074
59,-13.0,8.232474871811561,0.6027415843082742
60,-3.0,8.36824583305497,0.5967292370047992
61,-13.0,8.288471914469483,0.5907768628656763
62,-20.0,10.009378921712596,0.5848838636585911
63,-20.0,9.236339734850876,0.5790496471185967
64,-6.0,9.391348762439293,0.5732736268885887
65,-13.0,4.423236270246889,0.567555222460375
66,6.0,4.157044787831239,0.5618938591163328
67,-6.0,3.9808815459641522,0.5562889678716474
68,-6.0,5.7314090019773385,0.5507399854171277
69,-2.0,0,0.5507399854171277
70,-20.0,6.079864608554999,0.5452463540625918
71,-6.0,10.048040644934986,0.5398075216808175
72,-13.0,8.155692888342458,0.5344229416520513
73,-13.0,4.066409441872111,0.5290920728090721
74,-13.0,5.710822350242097,0.5238143793828016
75,6.0,10.439776141293805,0.5185893309484582
76,8.0,11.523500084947955,0.5134164023722473
77,-20.0,9.06599302322229,0.5082950737585841
78,-6.0,5.0968078249436815,0.5032248303978422
79,-6.0,8.596488680365837,0.4982051627146237
80,1.0,13.334372229822275,0.4932355662165453
81,-6.0,10.888517532182622,0.4883155414435353
82,6.0,11.612714273570447,0.483444593917636
83,-13.0,14.509993584541007,0.47862223409330756
84,-13.0,6.301668045943266,0.4738479773082268
85,-6.0,17.026599019142253,0.46912134373457726
86,1.0,14.665974135929389,0.46444185833082485
87,2.0,4.768502363323023,0.46211964903917074
88,-13.0,15.752619811317345,0.457510005540005
89,-13.0,10.951425607414421,0.4529463432347434
90,-6.0,16.68349339475685,0.4484282034609769
91,-20.0,15.66892542518326,0.4439551321314536
